feature,sd_train,pred0,delta_pred_1sd,importance,missingness_pct,delta_r2,delta_pairwise
targets,12.880078405427954,0.01137383251020922,0.08776685293525495,0.08776685293525495,7.000000000000001,0.009961903603830091,0.023064922019603307
umap3_z,1.8615316915485252,0.01137383251020922,-0.06660761662448833,0.06660761662448833,8.5,0.010393302237796442,0.013893691338683567
context,16.250675097235067,0.01137383251020922,0.06404194289129714,0.06404194289129714,6.5,0.006006869460035036,0.00886916470471577
sector_cluster_Capacity_Building_and_Technical_Assistance,0.08290812517936305,0.01137383251020922,-0.04480054709652738,0.04480054709652738,47.0,0.003869447486806621,0.003223610237558683
region_EAP,0.4231844869688985,0.01137383251020922,0.04043911515427191,0.04043911515427191,0.0,0.013498438412279823,0.033399461150228404
implementer_performance,11.634899824378314,0.01137383251020922,0.03393699578564459,0.03393699578564459,5.5,0.005022977059516265,0.008857493581767129
expenditure_per_year_log,1.3670480712268618,0.01137383251020922,0.028881507096135187,0.028881507096135187,8.5,0.0006197856794767365,-0.00801923795020465
umap3_y,1.4845074547847417,0.01137383251020922,0.023601177373516743,0.028526662832616453,8.5,0.0036280120516880565,0.006657534093209461
planned_duration,3.017909869562011,0.01137383251020922,-0.026831398116917836,0.026831398116917836,0.5,-0.0003456190417974181,0.0029064694835710947
expenditure_x_complexity,11825111863.690987,0.01137383251020922,0.023095925587644547,0.023095925587644547,11.0,0.003698044162114611,0.0036757449959290422
rep_org_2,0.4804938793531736,0.01137383251020922,0.022537123127652922,0.022537123127652922,0.0,0.030138877454956248,-0.00571230861049099
activity_scope,1.5964142818061196,0.01137383251020922,-0.01913928930453887,0.01913928930453887,0.0,0.0033953853895247743,-0.0091200490705875
region_MENA,0.26257707900701227,0.01137383251020922,-0.017375365830163456,0.017375365830163456,0.0,0.0015161338231755028,0.007643083608667056
finance,9.05572054566031,0.01137383251020922,0.014879827564967196,0.014879827564967196,9.0,0.008732129471862526,0.0159510400003674
umap3_x,1.8010116535726535,0.01137383251020922,-0.012559934002189384,0.012559934002189384,8.5,0.006812593067419659,0.011670365077809941
cpia_score,0.28454314563422045,0.01137383251020922,0.012400518336255398,0.012400518336255398,31.5,0.0024908177946427745,0.0005277888916978002
sector_cluster_Contingencies,0.08033488266727305,0.01137383251020922,0.012367640896671766,0.012367640896671766,47.0,0.004432411491215982,0.0030766414251468532
region_ECA,0.3347501562412461,0.01137383251020922,0.009784462185750731,0.009784462185750731,0.0,0.0031097531857449123,0.0009199673499400429
finance_is_loan,0.4894272121843504,0.01137383251020922,-0.008867767429857213,0.008867767429857216,0.0,0.002562517710637424,0.005826239568586633
log_planned_expenditure,1.37155289826123,0.01137383251020922,-0.00016957039028109213,0.008864442696023551,5.5,0.0024714073147751314,-0.0027817120329878264
gdp_percap,0.9625529747256163,0.01137383251020922,0.00862737148582446,0.00862737148582446,7.5,0.0047180045588861574,0.0005000665730181542
sector_cluster_Project_Management,0.0592556420913482,0.01137383251020922,0.0073999008298542565,0.0073999008298542565,47.0,0.0053240760825497,0.00790424481101093
region_LAC,0.34678539351653925,0.01137383251020922,-0.006752584296261546,0.006752584296261552,0.0,0.0043625303719079245,0.003863556283825842
sector_clusters_missing,0.4622624531017529,0.01137383251020922,-0.006171417204103108,0.006171417204103115,0.0,0.0036888862197641537,-0.0003075780322603361
sector_cluster_increased_managed_forest_land,0.2067060817852643,0.01137383251020922,-0.005274930532428214,0.005274930532428214,47.0,0.005136433608743163,0.005555755222648839
sector_cluster_Institutional_capacity_building,0.06176682370038321,0.01137383251020922,0.004670233899795298,0.004670233899795298,47.0,,
complexity,17.364892908121867,0.01137383251020922,-0.004633389943819735,0.004633389943819735,6.5,,
planned_expenditure,212847465.5049678,0.01137383251020922,0.004022667131513236,0.0045396441715720515,5.5,,
cpia_missing,0.49963060269143966,0.01137383251020922,-0.004054791967603523,0.0040547919676035245,0.0,,
risks,19.58192158171375,0.01137383251020922,-0.003900249278403832,0.003900249278403832,6.5,,
governance_composite,0.4298499970867956,0.01137383251020922,0.0033359483294583877,0.0038843657853294255,7.5,,
region_AFW,0.2795302540650155,0.01137383251020922,0.003680560423346716,0.0036805604233467203,0.0,,
sector_cluster_reduced_CO2_emissions,0.3683989428713515,0.01137383251020922,-0.003280093115771833,0.003280093115771833,47.0,,
country_distance,0.037730952380814566,0.01137383251020922,-0.001970570914052657,0.0025105268952653357,8.5,,
umap_missing,0.29589056835669386,0.01137383251020922,-0.001981262829412287,0.001981262829412287,0.0,,
sector_cluster_more_people_with_drinking_water_services,0.29623301028640064,0.01137383251020922,0.00017332888146952274,0.001967323610001088,47.0,,
governance_missing_count,1.5637546451255253,0.01137383251020922,-0.0019117124745174118,0.0019117124745174118,0.0,,
sector_cluster_Land_acquisition_and_resettlement,0.12308363848419154,0.01137383251020922,-0.0018142554670087649,0.0018142554670087649,47.0,,
region_SAS,0.2972616082066771,0.01137383251020922,-0.001399693390948033,0.001399693390948033,0.0,,
sector_distance,0.04602546271099341,0.01137383251020922,-3.113176395770417e-05,0.0013948339193670376,8.5,,
region_AFE,0.28442067921695124,0.01137383251020922,-0.0012755001378963707,0.0012755001378963733,0.0,,
sector_cluster_Improved_transport_infrastructure,0.18748302982507756,0.01137383251020922,-0.001092402330854786,0.001092402330854786,47.0,,
sector_cluster_Road_safety_improvements,0.17987159585023443,0.01137383251020922,0.0008567734328484605,0.0009619071691917519,47.0,,
sector_cluster_increased_food_production,0.18143288277977512,0.01137383251020922,-0.0003622850246176529,0.0007281113416924842,47.0,,
sector_cluster_reduced_PM2.5_air_pollution,0.11463345368778488,0.01137383251020922,-0.0007046795322524593,0.0007046795322524593,47.0,,
integratedness,5.723779793175477,0.01137383251020922,-4.414771369299058e-06,0.00040703684178580073,10.0,,
sector_cluster_Urban_flood_protection,0.13886896709905136,0.01137383251020922,-0.0003068793214611315,0.0003068793214611315,47.0,,
gdp_percap_missing,0.27381664662986455,0.01137383251020922,0.00029265685859764185,0.00029265685859764185,0.0,,
rep_org_1,0.2470740381173938,0.01137383251020922,-0.00025789077386440245,0.00025789077386440245,0.0,,
sector_cluster_Financing_charges,0.05771038141221541,0.01137383251020922,-0.00017303064828332222,0.00017303064828332222,47.0,,
rep_org_0,0.23597571233427087,0.01137383251020922,0.00015286437700230736,0.00015286437700230736,0.0,,
sector_cluster_Green_growth_initiatives,0.12329740218148931,0.01137383251020922,-0.00012151293499255587,0.00012151293499255587,47.0,,
wgi_any_missing,0.26747521433732685,0.01137383251020922,-2.3581952775619634e-05,2.3581952775619634e-05,0.0,,
sector_cluster_Climate_adaptation,0.1016507587963244,0.01137383251020922,-2.168404344971009e-18,0.0,47.0,,
llm_features_missing_count,0.6171729520354963,0.01137383251020922,5.204170427930421e-18,0.0,0.0,,
llm_features_present_ratio,0.08816756457649946,0.01137383251020922,-8.673617379884035e-19,0.0,0.0,,
feature_completeness_ratio,0.08816756457649946,0.01137383251020922,3.469446951953614e-18,0.0,0.0,,
planned_expenditure_missing,0.16660112297926602,0.01137383251020922,-1.3010426069826053e-18,0.0,0.0,,
planned_duration_missing,0.04512932129834895,0.01137383251020922,8.673617379884035e-19,0.0,0.0,,
